"id","code","name","reconcile","account_type",parent_id/id
ec4010903,4.01.09.03,DESCUENTO PRONTO PAGO,FALSE,income,ec40109
ec40110,4.01.10.,DEVOLUCIONES EN VENTAS,FALSE,view,ec401
ec4011001,4.01.10.01,DEVOLUCIONES EN VENTAS 12%,FALSE,income,ec40110
ec4011002,4.01.10.02,DEVOLUCIONES EN VENTAS 0%,FALSE,income,ec40110
ec40111,4.01.11.,BONIFICACIÓN EN PRODUCTO,FALSE,view,ec401
ec4011101,4.01.11.01,BONIFICACIÓN EN PRODUCTO,FALSE,income,ec40111
ec40112,4.01.12.,OTRAS REBAJAS COMERCIALES,FALSE,view,ec401
ec4011201,4.01.12.01,OTRAS REBAJAS COMERCIALES,FALSE,income,ec40112
ec403,4.03.,OTROS INGRESOS,FALSE,view,ec4
ec40301,4.03.01.,DIVIDENDOS,FALSE,view,ec403
ec4030101,4.03.01.01,DIVIDENDOS,FALSE,income,ec40301
ec40302,4.03.02.,INTERESES FINANCIEROS,FALSE,view,ec403
ec4030201,4.03.02.01,INTERESES FINANCIEROS,FALSE,income,ec40302
ec40303,4.03.03.,GANANCIA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS,FALSE,view,ec403
ec4030301,4.03.03.01,GANANCIA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS,FALSE,income,ec40303
ec40304,4.03.04.,VALUACION DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS,FALSE,view,ec403
ec4030401,4.03.04.01,VALUACION DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS,FALSE,income,ec40304
ec40305,4.03.05.,OTRAS RENTAS,FALSE,view,ec403
ec4030501,4.03.05.01,OTRAS RENTAS,FALSE,income,ec40305
ec5,5,COSTO DE VENTAS Y PRODUCCIÓN,FALSE,view,ecpuc
ec501,5.01.,COSTO DE VENTAS Y PRODUCCIÓN,FALSE,view,ec5
ec50101,5.01.01.,MATERIALES UTILIZADOS O PRODUCTOS VENDIDOS,FALSE,view,ec501
ec5010102,5.01.01.02.,COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA,FALSE,view,ec50101
ec501010201,5.01.01.02.01,COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA 12%,FALSE,expense_direct_cost,ec5010102
ec501010202,5.01.01.02.02,COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA 0%,FALSE,expense_direct_cost,ec5010102
ec501010203,5.01.01.02.03,COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA,FALSE,expense_direct_cost,ec5010102
ec5010103,5.01.01.03.,IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA,FALSE,view,ec50101
ec501010301,5.01.01.03.01,IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA,FALSE,expense_direct_cost,ec5010103
ec5010106,5.01.01.06.,COMPRAS NETAS LOCALES DE MATERIA PRIMA,FALSE,view,ec50101
ec501010601,5.01.01.06.01,COMPRAS NETAS LOCALES DE MATERIA PRIMA,FALSE,expense_direct_cost,ec5010106
ec5010107,5.01.01.07.,IMPORTACIONES DE MATERIA PRIMA,FALSE,view,ec50101
ec501010701,5.01.01.07.01,IMPORTACIONES DE MATERIA PRIMA,FALSE,expense_direct_cost,ec5010107
ec50102,5.01.02.,MANO DE OBRA DIRECTA,FALSE,view,ec501
ec5010201,5.01.02.01.,SUELDOS Y BENEFICIOS SOCIALES,FALSE,view,ec50102
ec501020101,5.01.02.01.01,SUELDOS Y BENEFICIOS SOCIALES,FALSE,expense_direct_cost,ec5010201
